iter	Passed	Remaining
459	785	922
460	786	919
461	787	916
462	787	913
463	788	911
464	789	908
465	790	905
466	791	902
467	791	900
468	793	897
469	794	895
470	794	892
471	795	890
472	796	887
473	797	885
474	799	883
475	800	880
476	801	878
477	802	876
478	803	874
479	804	871
480	805	868
481	805	866
482	806	863
483	807	860
484	808	858
485	809	855
486	809	853
487	810	850
488	813	849
489	814	847
490	815	845
491	816	842
492	817	840
493	818	837
494	820	836
495	820	834
496	821	831
497	822	828
498	823	826
499	823	823
500	824	821
501	825	818
502	826	816
503	829	816
504	830	813
505	831	811
506	832	809
507	833	806
508	834	804
509	834	802
510	835	799
511	836	797
512	837	795
513	838	792
514	839	790
515	839	787
516	840	785
517	842	783
518	843	782
519	845	780
520	846	778
521	848	776
522	848	774
523	849	771
524	850	769
525	851	766
526	851	764
527	852	762
528	853	759
529	854	757
530	855	755
531	857	753
532	859	752
533	859	750
534	860	748
535	861	745
536	862	743
537	864	742
538	865	740
539	866	737
540	866	735
541	867	733
542	868	730
543	869	728
544	870	726
545	871	724
546	874	723
547	874	721
548	875	719
549	876	717
550	877	715
551	878	712
552	879	710
553	880	708
554	880	706
555	882	704
556	882	702
557	883	700
558	884	697
559	885	695
560	887	694
561	888	692
562	889	690
563	891	688
564	892	686
565	893	684
566	894	682
567	894	680
568	895	678
569	896	676
570	897	674
571	897	671
572	899	670
573	901	668
574	902	667
575	904	665
576	905	663
577	906	661
578	907	659
579	909	658
580	909	656
581	910	654
582	911	651
583	912	649
584	913	647
585	913	645
586	914	643
587	919	644
588	920	642
589	922	641
590	923	638
591	924	636
592	924	634
593	925	632
594	926	630
595	927	629
596	928	626
597	929	624
598	930	623
599	932	621
600	933	619
601	934	617
602	936	616
603	937	614
604	938	612
605	939	610
606	940	608
607	941	606
608	942	605
609	943	603
610	946	602
611	947	600
612	948	599
613	950	597
614	951	595
615	952	594
616	954	592
617	955	590
618	956	589
619	958	587
620	960	586
621	962	584
622	963	582
623	964	580
624	965	579
625	966	577
626	966	575
627	967	573
628	968	571
629	969	569
630	970	567
631	971	565
632	972	563
633	973	561
634	976	561
635	977	559
636	978	557
637	979	555
638	980	553
639	981	552
640	982	550
641	983	548
642	984	546
643	985	544
644	985	542
645	986	540
646	987	538
647	988	536
648	990	535
649	991	533
650	992	532
651	993	530
652	993	528
653	994	526
654	995	524
655	997	523
656	998	521
657	998	519
658	999	517
659	1000	515
660	1001	513
661	1001	511
662	1002	509
663	1003	507
664	1006	506
665	1007	505
666	1008	503
667	1009	501
668	1009	499
669	1010	497
670	1012	496
671	1012	494
672	1013	492
673	1014	490
674	1015	488
675	1016	487
676	1016	485
677	1017	483
678	1018	481
679	1020	480
680	1021	478
681	1022	476
682	1022	474
683	1023	472
684	1024	471
685	1025	469
686	1026	467
687	1026	465
688	1027	463
689	1028	462
690	1029	460
691	1030	458
692	1030	456
693	1031	454
694	1032	453
695	1033	451
696	1035	450
697	1036	448
698	1037	446
699	1038	444
700	1039	443
701	1039	441
702	1040	439
703	1041	437
704	1042	436
705	1042	434
706	1043	432
707	1044	430
708	1045	429
709	1046	427
710	1046	425
711	1047	423
712	1049	422
713	1051	421
714	1051	419
715	1052	417
716	1053	415
717	1054	414
718	1054	412
719	1055	410
720	1056	408
721	1057	407
722	1058	405
723	1059	403
724	1059	402
725	1060	400
726	1061	398
727	1062	396
728	1063	395
729	1065	393
730	1066	392
731	1067	390
732	1068	389
733	1068	387
734	1069	385
735	1070	383
736	1071	382
737	1071	380
738	1072	378
739	1073	377
740	1074	375
741	1074	373
742	1075	372
743	1076	370
744	1077	368
745	1080	367
746	1081	366
747	1081	364
748	1082	362
749	1083	361
750	1084	359
751	1084	357
752	1085	356
753	1086	354
754	1087	352
755	1087	351
756	1088	349
757	1089	347
758	1090	346
759	1091	344
760	1091	342
761	1092	341
762	1094	340
763	1096	338
764	1097	337
765	1098	335
766	1099	333
767	1100	332
768	1101	330
769	1101	329
770	1102	327
771	1103	325
772	1104	324
773	1104	322
774	1105	321
775	1106	319
776	1108	318
777	1109	316
778	1110	315
779	1111	313
780	1112	311
781	1113	310
782	1113	308
783	1114	307
784	1115	305
785	1116	303
786	1116	302
787	1117	300
788	1118	299
789	1119	297
790	1119	295
791	1120	294
792	1121	292
793	1123	291
794	1124	290
795	1125	288
796	1126	286
797	1127	285
798	1127	283
799	1128	282
800	1129	280
801	1130	279
802	1130	277
803	1131	275
804	1132	274
805	1133	272
806	1134	271
807	1134	269
808	1135	268
809	1136	266
810	1137	265
811	1139	263
812	1140	262
813	1141	260
814	1142	259
815	1142	257
816	1143	256
817	1144	254
818	1145	253
819	1145	251
820	1146	250
821	1147	248
822	1148	246
823	1149	245
824	1149	243
825	1150	242
826	1151	240
827	1153	239
828	1154	238
829	1155	236
830	1155	235
831	1156	233
832	1157	232
833	1158	230
834	1159	229
835	1159	227
836	1160	226
837	1161	224
838	1162	222
839	1163	221
840	1163	220
841	1164	218
842	1165	217
843	1166	215
844	1168	214
845	1169	212
846	1170	211
847	1171	209
848	1171	208
849	1172	206
850	1173	205
851	1174	203
852	1175	202
853	1176	201
854	1176	199
855	1177	198
856	1178	196
857	1179	195
858	1180	193
859	1180	192
860	1182	190
861	1185	189
862	1186	188
863	1187	186
864	1188	185
865	1190	184
866	1190	182
867	1191	181
868	1192	179
869	1193	178
870	1194	176
871	1195	175
872	1196	174
873	1198	172
874	1199	171
875	1200	169
876	1200	168
877	1201	166
878	1202	165
879	1203	164
880	1204	162
881	1205	161
882	1206	159
883	1207	158
884	1209	157
885	1210	155
886	1214	154
887	1216	153
888	1217	152
889	1218	150
890	1219	149
891	1221	147
892	1224	146
893	1225	145
894	1226	143
895	1229	142
896	1234	141
897	1235	140
898	1236	138
899	1237	137
900	1240	136
901	1241	134
902	1243	133
903	1245	132
904	1248	131
905	1249	129
906	1251	128
907	1252	126
908	1253	125
909	1254	124
910	1255	122
911	1260	121
912	1262	120
913	1263	118
914	1264	117
915	1266	116
916	1267	114
917	1268	113
918	1270	111
919	1271	110
920	1274	109
921	1278	108
922	1279	106
923	1280	105
924	1281	103
925	1282	102
926	1283	101
927	1284	99
928	1285	98
929	1286	96
930	1289	95
931	1291	94
932	1293	92
933	1294	91
934	1295	90
935	1296	88
936	1297	87
937	1298	85
938	1299	84
939	1300	82
940	1301	81
941	1305	80
942	1308	79
943	1309	77
944	1310	76
945	1311	74
946	1312	73
947	1313	72
948	1314	70
949	1315	69
950	1316	67
951	1319	66
952	1323	65
953	1324	63
954	1325	62
955	1326	61
956	1327	59
957	1328	58
958	1330	56
959	1331	55
960	1331	54
961	1338	52
962	1339	51
963	1340	50
964	1341	48
965	1342	47
966	1342	45
967	1343	44
968	1345	43
969	1345	41
970	1346	40
971	1350	38
972	1353	37
973	1354	36
974	1355	34
975	1356	33
976	1357	31
977	1358	30
978	1359	29
979	1360	27
980	1361	26
981	1364	25
982	1368	23
983	1369	22
984	1370	20
985	1371	19
986	1372	18
987	1373	16
988	1374	15
989	1375	13
990	1376	12
991	1379	11
992	1383	9
993	1384	8
994	1385	6
995	1386	5
996	1387	4
997	1388	2
998	1389	1
999	1390	0
